title,addressinfo,sizeinfo,followinfo,total_price,unit_price
满五唯一税费少，过户快无遮挡采光,南威中心 ,   -  ,3室1厅 | 89.6平米 | 北 | 精装 | 高楼层(共7层) | 1993年建 | 塔楼,285,单价31800元/平米
南洋大厦 2室1厅 南,南洋大厦 ,   -  ,2室1厅 | 49.89平米 | 南 | 精装 | 低楼层(共28层) | 1985年建 | 板塔结合,205,单价40900元/平米
吉信大厦电梯高楼层东南向一房采光好,吉信大厦 ,   -  ,1室0厅 | 47.91平米 | 东 | 简装 | 高楼层(共28层) | 1999年建 | 板塔结合,130,单价27000元/平米
满五唯一，2+1户型，南向看花园,信义假日名城四期锦绣园 ,   -  ,2室2厅 | 73.83平米 | 东南 | 简装 | 低楼层(共18层) | 2005年建 | 塔楼,337,单价45600元/平米
"业主诚心出售，房子装修保养好,采光好",丽湖花园一期 ,   -  ,2室1厅 | 42.23平米 | 东 | 精装 | 高楼层(共8层) | 1997年建 | 板塔结合,160,单价37700元/平米
地铁14号线 康桥二期电梯2房 红本满五 诚心出售,中城康桥花园二期 ,   -  ,2室2厅 | 70.24平米 | 北 | 精装 | 高楼层(共18层) | 2003年建 | 塔楼,291,单价41300元/平米
客厅出阳台精装两房 14号线六约北3号六约站 别墅社区,中海大山地北区 ,   -  ,2室1厅 | 72.74平米 | 东北 | 精装 | 低楼层(共31层) | 2009年建 | 板塔结合,296,单价40600元/平米
中兆花园 2室1厅 东南,中兆花园 ,   -  ,2室1厅 | 46平米 | 东南 | 简装 | 低楼层(共8层) | 2000年建 | 板楼,185,单价40100元/平米
此房高楼层视野开阔，可以做两房，安静。,山海津 ,   -  ,2室1厅 | 61.14平米 | 东南 | 毛坯 | 中楼层(共27层) | 2015年建 | 板塔结合,529,单价86500元/平米
中海半山溪谷  红本满五年2房   家庭一套  诚心出售,中海半山溪谷花园 ,   -  ,2室1厅 | 71.91平米 | 北 | 简装 | 高楼层(共10层) | 2008年建 | 板塔结合,282,单价39200元/平米
香山美墅三期 4室1厅 西南,香山美墅三期 ,   -  ,4室1厅 | 177.2平米 | 西南 | 精装 | 中楼层(共42层) | 2016年建 | 板塔结合,1983,单价111900元/平米
双阳台，景观好，住宅安静，方便看房,金汐府 ,   -  ,4室2厅 | 89.39平米 | 南 | 精装 | 高楼层(共30层) | 2015年建 | 塔楼,294,单价32800元/平米
欧陆经典 2室1厅 南,欧陆经典 ,   -  ,2室1厅 | 66.37平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,472,单价71000元/平米
桐景花园正规三房，看房方便，诚心出售！,桐景花园 ,   -  ,3室1厅 | 99.01平米 | 南 | 简装 | 中楼层(共28层) | 2002年建 | 板塔结合,492,单价49600元/平米
通风采光好，户型方正，全明户型。安静居家,丽港湾 ,   -  ,2室1厅 | 56.72平米 | 南 | 精装 | 低楼层(共18层) | 2003年建 | 塔楼,478,单价84100元/平米
满五税费少.红本在手没抵押...,御景湾 ,   -  ,3室2厅 | 97.24平米 | 东南 | 精装 | 28层 | 2006年建 | 板塔结合,682,单价70100元/平米
大康福盈门  精装修四房 诚心卖 看房方便,大康福盈门 ,   -  ,4室2厅 | 159.69平米 | 西南 | 精装 | 中楼层(共43层) | 2016年建 | 板塔结合,1450,单价90800元/平米
业主急售 东南向高层三房 满五年 红本在手 保养好,志健时代广场 ,   -  ,3室2厅 | 122.68平米 | 东南 | 简装 | 高楼层(共29层) | 2007年建 | 板塔结合,424,单价34500元/平米
满5年本在手，朝南中间楼层精装2房，看罗湖京基夜景,花语岸 ,   -  ,2室2厅 | 65.7平米 | 东南 | 精装 | 26层 | 2010年建 | 板塔结合,307,单价46700元/平米
满五唯一红本在手交通便利配套齐全,友邻公寓 ,   -  ,1室0厅 | 29.94平米 | 北 | 简装 | 30层 | 2006年建 | 平房,308,单价102700元/平米
满五唯一 红本在手 户型方正 实用率高 业主诚心放卖,阳光花园一期 ,   -  ,2室1厅 | 57.52平米 | 东南 | 精装 | 7层 | 2003年建 | 板楼,236,单价41000元/平米
全南向大两房， 满五年红本，居家舒适，诚心出售,景田西小区 ,   -  ,2室2厅 | 76.55平米 | 南 | 简装 | 中楼层(共7层) | 1994年建 | 板塔结合,623,单价81300元/平米
业主急售双地铁物业，满五税费少高层看花园，实用高,和谐家园 ,   -  ,3室1厅 | 59.03平米 | 西北 | 精装 | 高楼层(共28层) | 2010年建 | 塔楼,329,单价55600元/平米
翠园集团 红本在手  满五年 地铁口物业,金迪名苑 ,   -  ,1室1厅 | 36.46平米 | 南 | 精装 | 中楼层(共17层) | 2004年建 | 板塔结合,296,单价81000元/平米
康达尔四期2+1，满五年，保养好,康达尔花园四期 ,   -  ,3室2厅 | 71平米 | 东 东北 | 精装 | 低楼层(共24层) | 2004年建 | 塔楼,310,单价43600元/平米
华盛观荟名庭 4室1厅 东南,华盛观荟名庭 ,   -  ,4室1厅 | 89.27平米 | 东南 | 精装 | 中楼层(共32层) | 2016年建 | 板塔结合,458,单价51200元/平米
南！高楼层，平层大四房，车位足，满五唯一,厚德品园 ,   -  ,4室2厅 | 107.97平米 | 南 | 精装 | 高楼层(共32层) | 2008年建 | 塔楼,1252,单价115900元/平米
